date,state,cases_total,cases_white,cases_black,cases_latin_x,cases_asian,cases_aian,cases_nhpi,cases_multiracial,cases_other,cases_unknown,cases_ethnicity_hispanic,cases_ethnicity_non_hispanic,cases_ethnicity_unknown,deaths_total,deaths_white,deaths_black,deaths_latin_x,deaths_asian,deaths_aian,deaths_nhpi,deaths_multiracial,deaths_other,deaths_unknown,deaths_ethnicity_hispanic,deaths_ethnicity_non_hispanic,deaths_ethnicity_unknown,hosp_total,hosp_white,hosp_black,hosp_latin_x,hosp_asian,hosp_aian,hosp_nhpi,hosp_multiracial,hosp_other,hosp_unknown,hosp_ethnicity_hispanic,hosp_ethnicity_non_hispanic,hosp_ethnicity_unknown,tests_total,tests_white,tests_black,tests_latin_x,tests_asian,tests_aian,tests_nhpi,tests_multiracial,tests_other,tests_unknown,tests_ethnicity_hispanic,tests_ethnicity_non_hispanic,tests_ethnicity_unknown,cases_latinx,deaths_latinx,hosp_latinx,tests_latinx
2020-06-17,IN,41013,18254,5234,NA,650,NA,NA,NA,7489,9386,4769,13668,22576,2289,1469,345,NA,11,NA,NA,NA,295,169,43,1238,1008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-06-21,IN,42423,18786,5317,NA,673,NA,NA,NA,7644,10021,4940,14164,23319,2350,1502,351,NA,12,NA,NA,NA,300,185,45,1264,1041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-06-24,IN,43140,19422,5399,NA,678,NA,NA,NA,7887,9754,5022,14394,23724,2386,1541,353,NA,12,NA,NA,NA,307,173,46,1281,1059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-06-28,IN,44930,20045,5513,NA,692,NA,NA,NA,8065,10615,5181,14971,24778,2427,1565,355,NA,13,NA,NA,NA,313,181,46,1297,1084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-07-01,IN,45952,20773,5637,NA,709,NA,NA,NA,8307,10526,5259,15300,25393,2456,1593,355,NA,13,NA,NA,NA,320,175,46,1310,1100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-07-05,IN,48008,21638,5769,NA,718,NA,NA,NA,8531,11352,5475,16071,26462,2693,1619,362,NA,13,NA,NA,NA,326,373,48,1333,1119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-07-08,IN,49063,22443,5905,NA,729,NA,NA,NA,8781,11205,5566,16375,27122,2732,1644,368,NA,13,NA,NA,NA,332,375,49,1345,1145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-07-19,IN,56571,26104,6564,NA,761,NA,NA,NA,9651,13491,6300,19160,31111,2822,1704,373,NA,14,NA,NA,NA,350,381,52,1380,1197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-07-15,IN,53370,24730,6311,NA,748,NA,NA,NA,9259,12322,5971,17907,29492,2785,1682,371,NA,13,NA,NA,NA,344,375,51,1367,1174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-07-12,IN,51612,23494,6099,NA,738,NA,NA,NA,8989,12292,5805,17255,28552,2760,1662,370,NA,13,NA,NA,NA,337,378,51,1357,1159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-07-08,IN,49063,22443,5905,NA,729,NA,NA,NA,8781,11205,5566,16375,27122,2732,1644,368,NA,13,NA,NA,NA,332,375,49,1345,1145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
